Pipe ID,MATERIAL,DESCRIPTION,YEAR_INSTALLED,WORK_ORDER_NUMBER,ReportDate,StartDateT,CompletedD,Work Order Year,Request Type,FAILURE,Pipe AGE
P61590,DEL,Distribution,1926,1570190,11/15/2016,11/16/2016,11/16/2016,2016,Check For Leak/Break,1,93
P49123,DEL,Distribution,1941,1568208,11/12/2016,,,2016,Check For Leak/Break,1,78
P49825,DEL,Distribution,1950,1496850,7/28/2016,7/29/2016,7/29/2016,2016,Check For Leak/Break,1,69
P40246,DEL,Transmission,1947,1478688,7/1/2016,8/17/2016,8/17/2016,2016,Check For Leak/Break,1,72
P22913,DEL,Distribution,1935,1469269,6/23/2016,6/22/2016,6/22/2016,2016,Check For Leak/Break,1,84
P38791,DEL,Distribution,1940,1468604,6/22/2016,6/23/2016,6/23/2016,2016,Check For Leak/Break,1,79
P40502,DEL,Transmission,1947,1448692,5/25/2016,5/26/2016,5/26/2016,2016,Check For Leak/Break,1,72
P45013,DEL,Distribution,1941,1386192,1/25/2016,1/25/2016,1/25/2016,2016,Check For Leak/Break,1,78
P33461,DEL,Distribution,1940,1385926,1/24/2016,1/24/2016,1/24/2016,2016,Check For Leak/Break,1,79
P53557,DEL,Distribution,1937,1385598,1/21/2016,1/21/2016,1/21/2016,2016,Check For Leak/Break,1,82
P21711,DEL,Distribution,1941,1383995,1/13/2016,1/13/2016,1/13/2016,2016,Check For Leak/Break,1,78
P42592,DEL,Distribution,1930,731564,2/1/2014,2/2/2014,2/2/2014,2014,Check For Leak/Break,1,89
P18620,DEL,Distribution,1931,2076668,12/13/2017,12/14/2017,12/14/2017,2017,Check For Leak/Break,1,88
P20364,DEL,Distribution,1924,2074928,12/12/2017,12/12/2017,12/12/2017,2017,Check For Leak/Break,1,95
P20364,DEL,Distribution,1924,2074908,12/12/2017,12/12/2017,12/12/2017,2017,Check For Leak/Break,1,95
P38685,DEL,Distribution,1938,2073208,12/10/2017,12/10/2017,12/11/2017,2017,Check For Leak/Break,1,81
P82371,DEL,Distribution,1931,2012648,10/12/2017,10/12/2017,10/13/2017,2017,Check For Leak/Break,1,88
P35558,DEL,Distribution,2012,1976229,9/13/2017,9/14/2017,9/14/2017,2017,Check For Leak/Break,1,7
P21377,DEL,Distribution,1931,1947568,8/20/2017,8/20/2017,8/20/2017,2017,Check For Leak/Break,1,88
P82371,DEL,Distribution,1931,1924708,7/28/2017,7/28/2017,7/29/2017,2017,Check For Leak/Break,1,88
P82371,DEL,Distribution,1931,1917875,7/21/2017,7/22/2017,7/22/2017,2017,Check For Leak/Break,1,88
P22266,DEL,Distribution,1948,1661588,2/16/2017,2/17/2017,2/17/2017,2017,Check For Leak/Break,1,71
P55436,DEL,Distribution,1930,1629428,1/23/2017,1/24/2017,1/24/2017,2017,Check For Leak/Break,1,89
P55446,DEL,Distribution,1930,1629428,1/23/2017,1/24/2017,1/24/2017,2017,Check For Leak/Break,1,89
P38680,DEL,Distribution,1938,1613368,1/8/2017,1/8/2017,1/8/2017,2017,Check For Leak/Break,1,81
P82394,DEL,Distribution,1931,1359828,11/26/2015,,,2015,Check For Leak/Break,1,88
P12269,DEL,Distribution,1928,1298330,8/2/2015,10/24/2015,10/24/2015,2015,Check For Leak/Break,1,91
P40977,DEL,Distribution,1947,1291186,7/16/2015,7/16/2015,7/16/2015,2015,Check For Leak/Break,1,72
P55436,DEL,Distribution,1930,1266720,6/9/2015,,,2015,Check For Leak/Break,1,89
P21522,DEL,Distribution,1941,1258840,5/30/2015,6/29/2015,6/29/2015,2015,Check For Leak/Break,1,78
P55436,DEL,Distribution,1930,1229273,4/14/2015,6/16/2015,6/16/2015,2015,Check For Leak/Break,1,89
P55436,DEL,Distribution,1930,1228762,4/13/2015,4/14/2015,4/14/2015,2015,Check For Leak/Break,1,89
P35253,DEL,Distribution,1931,1228698,4/13/2015,7/24/2015,7/24/2015,2015,Check For Leak/Break,1,88
P114625,DEL,Distribution,1941,1196035,2/20/2015,2/21/2015,2/21/2015,2015,Check For Leak/Break,1,78
P43895,DEL,Distribution,1937,1177067,1/20/2015,1/21/2015,1/21/2015,2015,Check For Leak/Break,1,82
P43903,DEL,Distribution,1937,1177067,1/20/2015,1/21/2015,1/21/2015,2015,Check For Leak/Break,1,82
P82394,DEL,Distribution,1931,1172453,1/9/2015,,,2015,Check For Leak/Break,1,88
